"movieid"	"tconst"	"title"	"MPAA"	"genre"	"poster_url"	"description"	"reviewBody"	"keywords"	"imdb_rating"	"num_imdb_votes"
"56775"	"tt0465234"	"National Treasure: Book of Secrets"	"PG"	"['Action', 'Adventure', 'Mystery']"	"https://m.media-amazon.com/images/M/MV5BMTU2NTM3NjU1N15BMl5BanBnXkFtZTcwODg1MDU1MQ@@._V1_.jpg"	"Benjamin Gates must follow a clue left in John Wilkes Booth&apos;s diary to prove his ancestor&apos;s innocence in the assassination of Abraham Lincoln."	""	"divorce,abraham lincoln character,john wilkes booth character,mary todd lincoln character,blonde"	"6.5"	"231973"
"56782"	"tt0469494"	"There Will Be Blood"	"R"	"['Drama']"	"https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_.jpg"	"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."	""	"oil,misanthrope,loss of hearing,prospector,money"	"8.2"	"566177"
"56788"	"tt0472062"	"Charlie Wilson&apos;s War"	"R"	"['Biography', 'Comedy', 'Drama']"	"https://m.media-amazon.com/images/M/MV5BMTgwMDgwMDc4MF5BMl5BanBnXkFtZTYwOTU3MDM4._V1_.jpg"	"A drama based on a Texas congressman Charlie Wilson&apos;s covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects."	""	"afghanistan,based on true story,camera focus on female butt,playboy playmate,arms dealer"	"7.0"	"116912"
"56801"	"tt0758730"	"AVPR: Aliens vs Predator - Requiem"	"R"	"['Action', 'Adventure', 'Horror']"	"https://m.media-amazon.com/images/M/MV5BMTI5NDY2NDUwM15BMl5BanBnXkFtZTYwNzQxMTA3._V1_.jpg"	"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival."	""	"predator,the predator character,murder of a pregnant woman,extraterrestrial,weapons fire"	"4.6"	"122104"
"56805"	"tt0841046"	"Walk Hard: The Dewey Cox Story"	"R"	"['Comedy', 'Music']"	"https://m.media-amazon.com/images/M/MV5BMTk5NDMyNTk0N15BMl5BanBnXkFtZTcwMTQ4MDUzMw@@._V1_.jpg"	"Singer Dewey Cox overcomes adversity to become a musical legend."	""	"reference to iggy pop,elvis presley character,paul mccartney character,john lennon character,george harrison character"	"6.8"	"71771"
"56837"	"tt0450972"	"As You Like It"	"PG"	"['Drama', 'Comedy', 'Romance']"	"https://m.media-amazon.com/images/M/MV5BZjVjNjdmN2UtZGI3YS00MWVhLWFkNTMtYTlmMjgxZTRkYTQ3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg"	"A daughter of the powerful Duke must show her courage and inventiveness to be with the man she loves."	""	"sonnet,black man white woman romance,black man white woman relationship,interracial kiss,interracial romance"	"6.1"	"3366"
"56869"	"tt0489458"	"O Cheiro do Ralo"	"Not Rated"	"['Comedy', 'Drama']"	"https://m.media-amazon.com/images/M/MV5BMTM4NjI0ODMzOF5BMl5BanBnXkFtZTcwMzk1OTQ2OA@@._V1_.jpg"	"A pawn shop proprietor buys used goods from desperate locals--as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control."	""	"toilet,pawnshop,glass eye,bare butt,shot in the chest"	"7.3"	"5091"
"56908"	"tt0490579"	"Dedication"	"R"	"['Comedy', 'Drama', 'Romance']"	"https://m.media-amazon.com/images/M/MV5BMTM3MjA1NDE2Ml5BMl5BanBnXkFtZTcwNTI4ODA1MQ@@._V1_.jpg"	"The romantic comedy follows a misogynistic children&apos;s book author who is forced to work closely with a female illustrator instead of his long-time collaborator and only friend."	""	"book,illustrator,friend,children&apos;s book,collaboration"	"6.6"	"7032"
"56915"	"tt0760329"	"The Water Horse"	"PG"	"['Adventure', 'Family', 'Fantasy']"	"https://m.media-amazon.com/images/M/MV5BMTc1MjcxMjg5OV5BMl5BanBnXkFtZTcwNDE1NzYzMw@@._V1_.jpg"	"A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend."	""	"scottish highlands,bathtub,war widow,single mother,scotland"	"6.5"	"40319"
"56921"	"tt0991178"	"Battlestar Galactica: Razor"	"Not Rated"	"['Action', 'Drama', 'Sci-Fi']"	"https://m.media-amazon.com/images/M/MV5BMTk5MzUxNTYwMF5BMl5BanBnXkFtZTcwNTIyMjU1MQ@@._V1_.jpg"	"A two-hour Battlestar Galactica special that tells the story of the Battlestar Pegasus several months prior to it finding the Galactica."	""	"woman wears a uniform,human in outer space,starship name in title,space opera,lesbian"	"7.6"	"23135"
"56339"	"tt0464141"	"El orfanato"	"R"	"['Adventure', 'Drama', 'Horror']"	"https://m.media-amazon.com/images/M/MV5BZGVjNGMzMzgtODk1YS00MWI1LThmZTItOTAyOWEzNmNhMDY5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg"	"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."	""	"orphanage,dead children,missing child,orphan,female protagonist"	"7.4"	"153713"
"56367"	"tt0467406"	"Juno"	"PG-13"	"['Comedy', 'Drama']"	"https://m.media-amazon.com/images/M/MV5BMTIwMDgwODc5Nl5BMl5BanBnXkFtZTYwMjQzMDM4._V1_.jpg"	"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child."	""	"pregnancy,adoption,teenage mother,pregnant teenager,teenage pregnancy"	"7.5"	"512470"
"56379"	"tt0762117"	"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders"	"Unrated"	"['Documentary']"	"https://m.media-amazon.com/images/M/MV5BMDQ3YThmYjMtOGY2OS00ZGUxLTkzOTAtOGJjY2Y0MTk4ZWQ5XkEyXkFqcGdeQXVyMTQxNzE3ODA3._V1_.jpg"	"When Hurricane Katrina ravaged America&apos;s Gulf Coast, it laid bare an uncomfortable reality-America is not only far from the world&apos;s wealthiest nation; it is crumbling beneath a staggering burden of individual and government debt. Max"	""	"credit,debt,bank,financial system,credit card"	"7.2"	"2198"
"56389"	"tt0765120"	"My Blueberry Nights"	"PG-13"	"['Drama', 'Romance']"	"https://m.media-amazon.com/images/M/MV5BN2JiNzNlNjYtYzAzMy00MzJlLWFmMDEtNThiMWQ1MzM4NWU4XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_.jpg"	"A young lonely woman takes a soul-searching journey across America to resolve her questions about love while encountering a series of offbeat characters along the way."	""	"foodie,americana,female bonding,road trip,female protagonist"	"6.6"	"53950"
"56563"	"tt0847817"	"Helvetica"	"Not Rated"	"['Documentary']"	"https://m.media-amazon.com/images/M/MV5BZWE0MmIyMjUtZjMwZi00M2NmLTkzOTAtNjM4MzkwMTBjNjZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg"	"A documentary about typography, graphic design, and global visual culture."	""	"text based poster,art documentary,typography,graphic design,design"	"7.2"	"7856"
"56587"	"tt0825232"	"The Bucket List"	"PG-13"	"['Adventure', 'Comedy', 'Drama']"	"https://m.media-amazon.com/images/M/MV5BMTY2NTUyMjIyNF5BMl5BanBnXkFtZTYwNzYwMDM4._V1_.jpg"	"Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die."	""	"falling asleep,usa,united states,list,journey"	"7.4"	"242128"
"56607"	"tt0419887"	"The Kite Runner"	"PG-13"	"['Drama']"	"https://m.media-amazon.com/images/M/MV5BOWM5Yzg4ODctM2ViMC00ZGEzLWI2YzEtZDYwY2E4YTBhYTY1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg"	"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble."	""	"based on novel,reading the quran,timeframe 1970s,timeframe 1980s,timeframe 2000s"	"7.6"	"79761"
"56620"	"tt0810823"	"The Deaths of Ian Stone"	"R"	"['Horror', 'Thriller']"	"https://m.media-amazon.com/images/M/MV5BNDg2NTgxODQ0NF5BMl5BanBnXkFtZTcwMzg1MTU1MQ@@._V1_.jpg"	"An all-American guy is murdered each day by horrifying pursuers, only to wake up in slightly different lives to experience the terror of being murdered again."	""	"dying repeatedly,transformation,subway station,hockey game,clock stopped"	"5.5"	"13333"
"56715"	"tt0477139"	"Wristcutters: A Love Story"	"R"	"['Comedy', 'Drama', 'Fantasy']"	"https://m.media-amazon.com/images/M/MV5BOGU3NTRhYWYtZWI3YS00NTZjLTliMWUtNTIyMGQ1MzliMjFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"	"A film set in a strange afterlife way station that has been reserved for people who have committed suicide."	""	"suicide,hitchhiker,afterlife,road trip,black hole"	"7.2"	"55600"
"56757"	"tt0408236"	"Sweeney Todd: The Demon Barber of Fleet Street"	"R"	"['Drama', 'Horror', 'Musical']"	"https://m.media-amazon.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1_.jpg"	"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett"	""	"razor,based on stage musical,serial killer,barbershop,throat slitting"	"7.4"	"360540"
"56156"	"tt0465494"	"Hitman"	"R"	"['Action', 'Crime', 'Thriller']"	"https://m.media-amazon.com/images/M/MV5BMDlmMmZhZjQtZDhlMi00MzU0LWIwYjMtNDRhOGE5YzczYjBmXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg"	"A gun-for-hire known only as Agent 47 hired by a group known only as &apos;The Organization&apos; is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Eu"	""	"interpol,assassin,sniper,hitman,female full frontal nudity"	"6.3"	"167970"
"56169"	"tt0211933"	"Awake"	"R"	"['Crime', 'Drama', 'Mystery']"	"https://m.media-amazon.com/images/M/MV5BMjE3NDczNTIyOV5BMl5BanBnXkFtZTcwMDQwMjU1MQ@@._V1_.jpg"	"A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him."	""	"surgery,open heart surgery,pain,nudity,fiance fiancee relationship"	"6.5"	"75280"
"56171"	"tt0385752"	"The Golden Compass"	"PG-13"	"['Adventure', 'Family', 'Fantasy']"	"https://m.media-amazon.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_.jpg"	"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization."	""	"orphan,parallel universe,quest,missing child,kidnapping"	"6.1"	"186101"
"56174"	"tt0480249"	"I Am Legend"	"PG-13"	"['Action', 'Drama', 'Sci-Fi']"	"https://m.media-amazon.com/images/M/MV5BYTE1ZTBlYzgtNmMyNS00ZTQ2LWE4NjEtZjUxNDJkNTg2MzlhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg"	"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."	""	"virus,post apocalypse,new york city,survivalist,loneliness"	"7.2"	"734875"
"56176"	"tt0952640"	"Alvin and the Chipmunks"	"PG"	"['Animation', 'Adventure', 'Comedy']"	"https://m.media-amazon.com/images/M/MV5BMjdmNWY4MjItMjBiMi00MWNiLWI0ZjctYzBjZmEzOGRmNTc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg"	"Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous."	""	"concert,talking animal,new york city,chipmunk,singing animal"	"5.2"	"83558"
